        Frequency / GHz                S1,1 (l2=20)/abs,dB
----------------------------------------------------------------------
                       0                   -0.0035180978
            0.0040000002                   -0.0036324427
            0.0080000004                   -0.0039751052
                   0.012                   -0.0045449667
             0.016000001                   -0.0053370485
                    0.02                   -0.0063476835
                   0.024                   -0.0075708789
             0.028000001                   -0.0090008898
             0.032000002                    -0.010624944
             0.035999998                    -0.012439292
             0.039999999                    -0.014429482
                   0.044                    -0.016584856
                   0.048                    -0.018892806
             0.052000001                    -0.021339791
             0.056000002                    -0.023909753
             0.059999999                      -0.0265903
             0.064000003                    -0.029364382
             0.068000004                     -0.03221388
             0.071999997                    -0.035124267
             0.075999998                    -0.038076229
             0.079999998                    -0.041053992
             0.083999999                    -0.044037996
                   0.088                    -0.047010038
                   0.092                    -0.049953825
             0.096000001                    -0.052850726
                     0.1                    -0.055682398
                   0.104                    -0.058431779
                   0.108                    -0.061082547
                   0.112                    -0.063618645
                   0.116                    -0.066023113
                    0.12                    -0.068282351
                   0.124                    -0.070381365
              0.12800001                    -0.072308469
                   0.132                      -0.0740501
              0.13600001                    -0.075595953
                    0.14                    -0.076935955
              0.14399999                    -0.078061184
                   0.148                    -0.078965629
                   0.152                    -0.079642381
                   0.156                    -0.080086773
                    0.16                    -0.080295501
                   0.164                    -0.080267026
                   0.168                    -0.080002186
              0.17200001                    -0.079500995
                   0.176                    -0.078766905
              0.18000001                     -0.07780264
                   0.184                    -0.076615478
              0.18799999                    -0.075211417
                   0.192                    -0.073598946
              0.19599999                    -0.071785926
                     0.2                    -0.069785921
                   0.204                    -0.067609147
                   0.208                    -0.065268522
                   0.212                    -0.062779443
              0.21600001                    -0.060154373
                    0.22                     -0.05741135
              0.22400001                    -0.054565538
                   0.228                    -0.051634091
              0.23199999                    -0.048635476
                   0.236                    -0.045587248
              0.23999999                    -0.042507235
                   0.244                    -0.039414272
                   0.248                    -0.036326749
                   0.252                    -0.033264593
              0.25600001                    -0.030243613
              0.25999999                    -0.027284414
                   0.264                    -0.024403856
              0.26800001                    -0.021621333
              0.27200001                    -0.018948831
              0.27599999                    -0.016408058
                    0.28                     -0.01401231
              0.28400001                    -0.011774355
              0.28799999                   -0.0097120738
                   0.292                   -0.0078344659
                   0.296                   -0.0061556351
              0.30000001                   -0.0046844763
              0.30399999                   -0.0034313339
                   0.308                   -0.0024051078
              0.31200001                   -0.0016108634
              0.31600001                   -0.0010563668
              0.31999999                  -0.00074468752
                   0.324                  -0.00067820316
              0.32800001                  -0.00085943389
              0.33199999                   -0.0012879693
                   0.336                   -0.0019626798
                    0.34                   -0.0028798359
              0.34400001                   -0.0040362956
              0.34799999                   -0.0054258072
                   0.352                   -0.0070426885
              0.35600001                   -0.0088764963
              0.36000001                    -0.010918878
              0.36399999                     -0.01316071
                   0.368                    -0.015586213
              0.37200001                    -0.018186407
              0.37599999                    -0.020942814
                    0.38                    -0.023843824
                   0.384                    -0.026871846
              0.38800001                    -0.030010209
              0.39199999                     -0.03324042
                   0.396                    -0.036545608
              0.40000001                    -0.039905077
              0.40400001                     -0.04330082
              0.40799999                    -0.046712672
                   0.412                    -0.050121529
              0.41600001                    -0.053506696
              0.41999999                    -0.056848002
              0.42399999                    -0.060127264
                   0.428                       -0.063323
              0.43200001                    -0.066417269
              0.43599999                    -0.069390774
                    0.44                    -0.072225309
              0.44400001                    -0.074904191
              0.44800001                     -0.07741197
              0.45199999                    -0.079730887
                   0.456                    -0.081847418
              0.46000001                    -0.083747429
              0.46399999                    -0.085421542
              0.46799999                    -0.086855502
                   0.472                    -0.088041735
              0.47600001                    -0.088971386
              0.47999999                    -0.089639427
                   0.484                    -0.090040669
              0.48800001                    -0.090169996
              0.49200001                    -0.090028869
              0.49599999                    -0.089614821
                     0.5                     -0.08893159
              0.50400001                    -0.087980582
              0.50800002                     -0.08676858
              0.51200002                    -0.085301147
              0.51599997                    -0.083586661
              0.51999998                    -0.081634611
              0.52399999                    -0.079458576
                   0.528                    -0.077068625
              0.53200001                    -0.074479773
              0.53600001                    -0.071707603
              0.54000002                    -0.068768054
              0.54400003                    -0.065679332
              0.54799998                    -0.062459702
              0.55199999                    -0.059129328
              0.55599999                    -0.055707255
                    0.56                    -0.052215415
              0.56400001                    -0.048674204
              0.56800002                    -0.045105556
              0.57200003                    -0.041532973
              0.57599998                    -0.037976683
              0.57999998                    -0.034461707
              0.58399999                    -0.031006513
                   0.588                    -0.027636149
              0.59200001                    -0.024369904
              0.59600002                    -0.021229323
              0.60000002                    -0.018237429
              0.60399997                    -0.015412013
              0.60799998                    -0.012770829
              0.61199999                    -0.010335966
                   0.616                   -0.0081201189
                    0.62                    -0.006142682
              0.62400001                   -0.0044169505
              0.62800002                   -0.0029571351
              0.63200003                   -0.0017753306
              0.63599998                  -0.00088229343
              0.63999999                  -0.00028817765
              0.64399999                   -1.155532e-07
                   0.648                  -2.5280128e-05
              0.65200001                  -0.00036839555
              0.65600002                   -0.0010311498
              0.66000003                   -0.0020184764
              0.66399997                   -0.0033257305
              0.66799998                   -0.0049566155
              0.67199999                    -0.006902308
                   0.676                    -0.009161821
              0.68000001                    -0.011724708
              0.68400002                    -0.014585281
              0.68800002                    -0.017733127
              0.69199997                    -0.021156705
              0.69599998                    -0.024841829
              0.69999999                    -0.028776648
                   0.704                    -0.032942983
                   0.708                    -0.037323975
              0.71200001                     -0.04190376
              0.71600002                    -0.046659554
              0.72000003                    -0.051573207
              0.72399998                    -0.056621471
              0.72799999                    -0.061783627
              0.73199999                    -0.067036807
                   0.736                    -0.072356556
              0.74000001                     -0.07772001
              0.74400002                     -0.08310209
              0.74800003                    -0.088477999
              0.75199997                    -0.093825485
              0.75599998                    -0.099116987
              0.75999999                     -0.10433142
                   0.764                     -0.10944309
              0.76800001                     -0.11442896
              0.77200001                     -0.11926588
              0.77600002                     -0.12393508
              0.77999997                     -0.12841293
              0.78399998                     -0.13268193
              0.78799999                     -0.13672304
                   0.792                     -0.14051891
                   0.796                     -0.14405509
              0.80000001                     -0.14731677
              0.80400002                     -0.15029261
              0.80800003                     -0.15297297
              0.81199998                     -0.15534779
              0.81599998                     -0.15741214
              0.81999999                     -0.15916164
                   0.824                     -0.16059331
              0.82800001                     -0.16170838
              0.83200002                     -0.16250807
              0.83600003                     -0.16299595
              0.83999997                     -0.16318136
              0.84399998                     -0.16306979
              0.84799999                     -0.16267343
                   0.852                     -0.16200525
              0.85600001                     -0.16108048
              0.86000001                     -0.15991448
              0.86400002                     -0.15852635
              0.86799997                     -0.15693776
              0.87199998                     -0.15517061
              0.87599999                     -0.15324849
                    0.88                     -0.15119528
                   0.884                     -0.14903949
              0.88800001                      -0.1468077
              0.89200002                     -0.14452998
              0.89600003                     -0.14223401
              0.89999998                     -0.13995255
              0.90399998                     -0.13771444
              0.90799999                     -0.13555412
                   0.912                     -0.13350023
              0.91600001                     -0.13158745
              0.92000002                     -0.12984712
              0.92400002                     -0.12830975
              0.92799997                      -0.1270081
              0.93199998                     -0.12597441
              0.93599999                     -0.12523734
                    0.94                     -0.12482618
              0.94400001                     -0.12477246
              0.94800001                     -0.12510214
              0.95200002                     -0.12584332
              0.95599997                     -0.12702015
              0.95999998                     -0.12865766
              0.96399999                     -0.13077939
              0.96799999                     -0.13340462
                   0.972                     -0.13655461
              0.97600001                     -0.14024568
              0.98000002                     -0.14449538
              0.98400003                     -0.14931599
              0.98799998                      -0.1547204
              0.99199998                     -0.16071829
              0.99599999                     -0.16731835
                       1                     -0.17452532
