        Frequency / GHz                S1,1 (l2=29.5)/abs,dB
----------------------------------------------------------------------
                       0                    -0.069375809
            0.0040000002                    -0.069205643
            0.0080000004                    -0.068695426
                   0.012                    -0.067850702
             0.016000001                    -0.066680196
                    0.02                    -0.065197388
                   0.024                    -0.063415313
             0.028000001                    -0.061353364
             0.032000002                    -0.059031574
             0.035999998                    -0.056475341
             0.039999999                    -0.053709206
                   0.044                    -0.050762105
                   0.048                    -0.047664289
             0.052000001                    -0.044446327
             0.056000002                    -0.041141245
             0.059999999                    -0.037782515
             0.064000003                    -0.034405134
             0.068000004                    -0.031041555
             0.071999997                    -0.027725379
             0.075999998                    -0.024492995
             0.079999998                    -0.021373262
             0.083999999                    -0.018398971
                   0.088                     -0.01560126
                   0.092                     -0.01300651
             0.096000001                    -0.010642687
                     0.1                   -0.0085310282
                   0.104                   -0.0066933799
                   0.108                   -0.0051507183
                   0.112                    -0.003916878
                   0.116                   -0.0030048475
                    0.12                   -0.0024241343
                   0.124                   -0.0021813348
              0.12800001                   -0.0022800418
                   0.132                   -0.0027172181
              0.13600001                   -0.0034935263
                    0.14                   -0.0045992362
              0.14399999                   -0.0060256055
                   0.148                   -0.0077569487
                   0.152                   -0.0097799949
                   0.156                    -0.012072696
                    0.16                    -0.014615831
                   0.164                    -0.017383759
                   0.168                    -0.020347645
              0.17200001                    -0.023481464
                   0.176                    -0.026752025
              0.18000001                    -0.030130904
                   0.184                    -0.033580679
              0.18799999                    -0.037068505
                   0.192                    -0.040559675
              0.19599999                    -0.044019626
                     0.2                    -0.047412812
                   0.204                    -0.050704958
                   0.208                    -0.053862692
                   0.212                    -0.056854159
              0.21600001                    -0.059647497
                    0.22                    -0.062215049
              0.22400001                    -0.064529444
                   0.228                    -0.066565648
              0.23199999                    -0.068303723
                   0.236                    -0.069723195
              0.23999999                      -0.0708107
                   0.244                    -0.071552404
                   0.248                    -0.071941063
                   0.252                    -0.071970368
              0.25600001                    -0.071640154
              0.25999999                    -0.070952403
                   0.264                    -0.069913793
              0.26800001                    -0.068532525
              0.27200001                    -0.066823171
              0.27599999                    -0.064802579
                    0.28                    -0.062488902
              0.28400001                    -0.059906897
              0.28799999                     -0.05708115
                   0.292                    -0.054039962
                   0.296                    -0.050814387
              0.30000001                    -0.047435794
              0.30399999                    -0.043939447
                   0.308                    -0.040360193
              0.31200001                    -0.036733896
              0.31600001                    -0.033097466
              0.31999999                    -0.029487506
                   0.324                    -0.025942425
              0.32800001                     -0.02249597
              0.33199999                    -0.019185856
                   0.336                    -0.016044707
                    0.34                    -0.013106084
              0.34400001                    -0.010399693
              0.34799999                   -0.0079552938
                   0.352                   -0.0057980498
              0.35600001                   -0.0039528258
              0.36000001                   -0.0024382898
              0.36399999                   -0.0012738789
                   0.368                  -0.00047197691
              0.37200001                  -4.5460962e-05
              0.37599999                  -6.5235883e-07
                    0.38                   -0.0003407423
                   0.384                   -0.0010652007
              0.38800001                   -0.0021737283
              0.39199999                   -0.0036553222
                   0.396                   -0.0055025933
              0.40000001                   -0.0076968826
              0.40400001                    -0.010225006
              0.40799999                    -0.013062976
                   0.412                     -0.01618762
              0.41600001                    -0.019571095
              0.41999999                    -0.023185176
              0.42399999                    -0.026996526
                   0.428                    -0.030972406
              0.43200001                    -0.035072629
              0.43599999                    -0.039265373
                    0.44                    -0.043507764
              0.44400001                    -0.047762002
              0.44800001                    -0.051987602
              0.45199999                    -0.056145951
                   0.456                     -0.06019587
              0.46000001                     -0.06410017
              0.46399999                    -0.067820326
              0.46799999                    -0.071321799
                   0.472                    -0.074569526
              0.47600001                    -0.077532036
              0.47999999                    -0.080181782
                   0.484                    -0.082491666
              0.48800001                    -0.084441199
              0.49200001                    -0.086008509
              0.49599999                    -0.087180617
                     0.5                    -0.087945748
              0.50400001                    -0.088298664
              0.50800002                    -0.088234371
              0.51200002                    -0.087756262
              0.51599997                     -0.08687112
              0.51999998                    -0.085587204
              0.52399999                    -0.083920867
                   0.528                    -0.081889608
              0.53200001                    -0.079518408
              0.53600001                      -0.0768311
              0.54000002                    -0.073860186
              0.54400003                    -0.070636747
              0.54799998                     -0.06719831
              0.55199999                    -0.063583567
              0.55599999                    -0.059832411
                    0.56                    -0.055989241
              0.56400001                    -0.052095818
              0.56800002                    -0.048200247
              0.57200003                    -0.044345985
              0.57599998                    -0.040580097
              0.57999998                    -0.036947209
              0.58399999                    -0.033494611
                   0.588                    -0.030261608
              0.59200001                    -0.027295181
              0.59600002                    -0.024634857
              0.60000002                      -0.0223162
              0.60399997                    -0.020378259
              0.60799998                    -0.018853048
              0.61199999                    -0.017768828
                   0.616                    -0.017154289
                    0.62                    -0.017029888
              0.62400001                    -0.017415797
              0.62800002                    -0.018327573
              0.63200003                      -0.0197748
              0.63599998                    -0.021763452
              0.63999999                    -0.024297733
              0.64399999                    -0.027371888
                   0.648                    -0.030983575
              0.65200001                     -0.03511871
              0.65600002                    -0.039761906
              0.66000003                    -0.044896593
              0.66399997                    -0.050496857
              0.66799998                    -0.056536272
              0.67199999                    -0.062986051
                   0.676                    -0.069809289
