        Frequency / GHz                S1,1 (10)/abs,dB
----------------------------------------------------------------------
                       0                  -0.00037587239
            0.0040000002                  -0.00051242278
            0.0080000004                  -0.00091858674
                   0.012                   -0.0015911474
             0.016000001                   -0.0025188625
                    0.02                   -0.0036917659
                   0.024                   -0.0050938926
             0.028000001                   -0.0067079093
             0.032000002                   -0.0085119694
             0.035999998                    -0.010481745
             0.039999999                    -0.012594015
                   0.044                    -0.014819362
                   0.048                    -0.017128869
             0.052000001                     -0.01949304
             0.056000002                    -0.021881244
             0.059999999                    -0.024260634
             0.064000003                    -0.026601827
             0.068000004                    -0.028871614
             0.071999997                    -0.031042267
             0.075999998                     -0.03308375
             0.079999998                     -0.03496837
             0.083999999                    -0.036672337
                   0.088                    -0.038171595
                   0.092                    -0.039448078
             0.096000001                    -0.040481901
                     0.1                     -0.04126127
                   0.104                    -0.041774671
                   0.108                    -0.042014555
                   0.112                    -0.041978371
                   0.116                    -0.041665482
                    0.12                    -0.041080817
                   0.124                    -0.040230736
              0.12800001                    -0.039127204
                   0.132                    -0.037783145
              0.13600001                    -0.036218691
                    0.14                    -0.034452902
              0.14399999                    -0.032508971
                   0.148                    -0.030411672
                   0.152                    -0.028190481
                   0.156                    -0.025874424
                    0.16                    -0.023493661
                   0.164                    -0.021078995
                   0.168                    -0.018663997
              0.17200001                    -0.016278256
                   0.176                    -0.013955233
              0.18000001                    -0.011725002
                   0.184                   -0.0096169007
              0.18799999                   -0.0076590128
                   0.192                   -0.0058782235
              0.19599999                   -0.0042976167
                     0.2                   -0.0029385914
                   0.204                   -0.0018188047
                   0.208                  -0.00095626738
                   0.212                  -0.00035906938
              0.21600001                  -3.9752876e-05
                    0.22                  -4.0116393e-07
              0.22400001                  -0.00024388412
                   0.228                  -0.00076665835
              0.23199999                   -0.0015679697
                   0.236                   -0.0026317408
              0.23999999                   -0.0039487246
                   0.244                   -0.0055040163
                   0.248                   -0.0072754727
                   0.252                   -0.0092423763
              0.25600001                    -0.011379703
              0.25999999                    -0.013661184
                   0.264                     -0.01605706
              0.26800001                    -0.018536222
              0.27200001                    -0.021068607
              0.27599999                    -0.023619587
                    0.28                    -0.026157546
              0.28400001                    -0.028648769
              0.28799999                    -0.031060512
                   0.292                    -0.033360901
                   0.296                    -0.035520638
              0.30000001                    -0.037510253
              0.30399999                     -0.03930178
                   0.308                    -0.040874504
              0.31200001                    -0.042203947
              0.31600001                    -0.043275153
              0.31999999                    -0.044069991
                   0.324                    -0.044580869
              0.32800001                    -0.044798407
              0.33199999                    -0.044719579
                   0.336                    -0.044344903
                    0.34                    -0.043679908
              0.34400001                    -0.042731621
              0.34799999                     -0.04151389
                   0.352                    -0.040041507
              0.35600001                    -0.038334307
              0.36000001                     -0.03641473
              0.36399999                    -0.034309245
                   0.368                     -0.03204409
              0.37200001                     -0.02965154
              0.37599999                    -0.027163902
                    0.38                    -0.024613392
                   0.384                    -0.022034833
              0.38800001                    -0.019463746
              0.39199999                    -0.016936131
                   0.396                    -0.014486126
              0.40000001                    -0.012146624
              0.40400001                   -0.0099510177
              0.40799999                   -0.0079305654
                   0.412                   -0.0061144368
              0.41600001                   -0.0045281398
              0.41999999                   -0.0031946222
              0.42399999                   -0.0021365959
                   0.428                   -0.0013701889
              0.43200001                  -0.00090740203
              0.43599999                  -0.00075997758
                    0.44                  -0.00093277268
              0.44400001                   -0.0014273216
              0.44800001                   -0.0022425625
              0.45199999                   -0.0033712923
                   0.456                   -0.0048033265
              0.46000001                    -0.006524781
              0.46399999                   -0.0085165264
              0.46799999                    -0.010759995
                   0.472                    -0.013226401
              0.47600001                    -0.015891133
              0.47999999                    -0.018722093
                   0.484                    -0.021687298
              0.48800001                    -0.024752947
              0.49200001                    -0.027882089
              0.49599999                    -0.031036698
                     0.5                    -0.034180053
              0.50400001                    -0.037274307
              0.50800002                    -0.040282905
              0.51200002                    -0.043168577
              0.51599997                    -0.045896458
              0.51999998                    -0.048435623
              0.52399999                    -0.050752241
                   0.528                    -0.052820644
              0.53200001                    -0.054616706
              0.53600001                    -0.056118447
              0.54000002                      -0.0573088
              0.54400003                    -0.058175743
              0.54799998                    -0.058711031
              0.55199999                    -0.058909016
              0.55599999                    -0.058772926
                    0.56                    -0.058306624
              0.56400001                    -0.057520324
              0.56800002                    -0.056427574
              0.57200003                    -0.055049833
              0.57599998                    -0.053408877
              0.57999998                    -0.051530263
              0.58399999                     -0.04944681
                   0.588                    -0.047191916
              0.59200001                    -0.044801592
              0.59600002                    -0.042312352
              0.60000002                    -0.039767633
              0.60399997                    -0.037208163
              0.60799998                    -0.034676493
              0.61199999                     -0.03221446
                   0.616                    -0.029866372
                    0.62                    -0.027671647
              0.62400001                    -0.025672021
              0.62800002                    -0.023905567
              0.63200003                    -0.022408193
              0.63599998                    -0.021212581
              0.63999999                    -0.020348354
              0.64399999                    -0.019841278
                   0.648                    -0.019715936
              0.65200001                    -0.019987612
              0.65600002                    -0.020672351
              0.66000003                    -0.021777212
              0.66399997                    -0.023308105
              0.66799998                    -0.025261348
              0.67199999                    -0.027633276
                   0.676                    -0.030413147
              0.68000001                    -0.033584215
              0.68400002                    -0.037126705
              0.68800002                    -0.041018217
              0.69199997                    -0.045226905
              0.69599998                    -0.049721549
              0.69999999                    -0.054466039
                   0.704                    -0.059421013
                   0.708                    -0.064544924
              0.71200001                    -0.069794459
              0.71600002                    -0.075123227
              0.72000003                    -0.080484226
              0.72399998                    -0.085833464
              0.72799999                    -0.091122735
              0.73199999                    -0.096306856
                   0.736                     -0.10134196
              0.74000001                     -0.10618676
              0.74400002                     -0.11080213
              0.74800003                      -0.1151534
              0.75199997                      -0.1192082
              0.75599998                     -0.12293975
              0.75999999                     -0.12632543
                   0.764                     -0.12934987
              0.76800001                     -0.13200108
              0.77200001                     -0.13427467
              0.77600002                     -0.13617114
              0.77999997                     -0.13769837
              0.78399998                     -0.13886766
              0.78799999                     -0.13970308
                   0.792                     -0.14022577
                   0.796                      -0.1404704
              0.80000001                     -0.14047244
              0.80400002                     -0.14027485
              0.80800003                     -0.13992469
              0.81199998                     -0.13947172
              0.81599998                     -0.13897358
              0.81999999                     -0.13848545
                   0.824                     -0.13806853
              0.82800001                     -0.13778487
              0.83200002                      -0.1376959
              0.83600003                     -0.13786663
              0.83999997                     -0.13835811
              0.84399998                     -0.13923299
              0.84799999                     -0.14055042
                   0.852                     -0.14237025
              0.85600001                     -0.14474623
              0.86000001                     -0.14772605
              0.86400002                     -0.15136116
              0.86799997                     -0.15569045
              0.87199998                     -0.16075188
              0.87599999                     -0.16657929
                    0.88                     -0.17319513
                   0.884                     -0.18062167
              0.88800001                      -0.1888706
              0.89200002                     -0.19795134
              0.89600003                     -0.20786347
              0.89999998                     -0.21860084
              0.90399998                     -0.23015295
              0.90799999                     -0.24250271
                   0.912                     -0.25562414
              0.91600001                     -0.26949076
              0.92000002                     -0.28406698
              0.92400002                      -0.2993149
              0.92799997                     -0.31519064
              0.93199998                     -0.33165068
              0.93599999                     -0.34864347
                    0.94                     -0.36612227
              0.94400001                     -0.38403278
              0.94800001                     -0.40232619
              0.95200002                      -0.4209509
              0.95599997                     -0.43985979
              0.95999998                     -0.45900586
              0.96399999                     -0.47835022
              0.96799999                     -0.49785406
                   0.972                      -0.5174899
              0.97600001                     -0.53723173
              0.98000002                     -0.55706718
              0.98400003                     -0.57698657
              0.98799998                     -0.59699593
              0.99199998                     -0.61710855
              0.99599999                     -0.63734853
                       1                     -0.65775331
               1.0039999                     -0.67837166
                   1.008                     -0.69926434
                   1.012                     -0.72050545
                   1.016                     -0.74218108
