        Frequency / GHz                S1,1 (l2=29.5)/abs,dB
----------------------------------------------------------------------
                       0                  -0.00045249851
            0.0040000002                  -0.00055017643
            0.0080000004                  -0.00084174924
                   0.012                   -0.0013223142
             0.016000001                   -0.0019876627
                    0.02                   -0.0028327177
                   0.024                   -0.0038437518
             0.028000001                   -0.0050144242
             0.032000002                    -0.006329707
             0.035999998                    -0.007775184
             0.039999999                   -0.0093349557
                   0.044                    -0.010994724
                   0.048                    -0.012731398
             0.052000001                    -0.014530176
             0.056000002                    -0.016370519
             0.059999999                    -0.018230792
             0.064000003                    -0.020091873
             0.068000004                    -0.021932461
             0.071999997                    -0.023732168
             0.075999998                    -0.025472019
             0.079999998                    -0.027132372
             0.083999999                     -0.02869341
                   0.088                    -0.030139809
                   0.092                    -0.031453991
             0.096000001                    -0.032621821
                     0.1                    -0.033630022
                   0.104                    -0.034468755
                   0.108                    -0.035125416
                   0.112                    -0.035594484
                   0.116                      -0.0358708
                    0.12                    -0.035950094
                   0.124                    -0.035831566
              0.12800001                    -0.035516381
                   0.132                    -0.035008172
              0.13600001                     -0.03431152
                    0.14                    -0.033436614
              0.14399999                    -0.032389442
                   0.148                    -0.031183184
                   0.152                    -0.029829458
                   0.156                    -0.028346064
                    0.16                    -0.026748243
                   0.164                     -0.02505176
                   0.168                     -0.02327712
              0.17200001                    -0.021443843
                   0.176                     -0.01957154
              0.18000001                    -0.017682006
                   0.184                    -0.015794075
              0.18799999                    -0.013930359
                   0.192                    -0.012111067
              0.19599999                     -0.01035451
                     0.2                   -0.0086844181
                   0.204                    -0.007115426
                   0.208                     -0.00566656
                   0.212                   -0.0043545233
              0.21600001                    -0.003192133
                    0.22                   -0.0021950674
              0.22400001                   -0.0013736127
                   0.228                  -0.00073675753
              0.23199999                  -0.00029271677
                   0.236                  -4.5806873e-05
              0.23999999                   -9.556729e-08
                   0.244                  -0.00015726365
                   0.248                  -0.00051607095
                   0.252                   -0.0010733687
              0.25600001                   -0.0018225068
              0.25999999                   -0.0027579247
                   0.264                   -0.0038674842
              0.26800001                   -0.0051425052
              0.27200001                   -0.0065687165
              0.27599999                   -0.0081306145
                    0.28                   -0.0098126548
              0.28400001                    -0.011596397
              0.28799999                    -0.013461792
                   0.292                    -0.015391374
                   0.296                    -0.017363014
              0.30000001                    -0.019354998
              0.30399999                    -0.021346453
                   0.308                    -0.023315001
              0.31200001                    -0.025239399
              0.31600001                    -0.027097917
              0.31999999                     -0.02887114
                   0.324                    -0.030539008
              0.32800001                     -0.03208216
              0.33199999                    -0.033484967
                   0.336                    -0.034730769
                    0.34                    -0.035803663
              0.34400001                    -0.036693975
              0.34799999                    -0.037391829
                   0.352                    -0.037886528
              0.35600001                    -0.038173147
              0.36000001                    -0.038248756
              0.36399999                    -0.038111809
                   0.368                    -0.037763609
              0.37200001                    -0.037207586
              0.37599999                    -0.036449568
                    0.38                    -0.035496079
                   0.384                    -0.034359175
              0.38800001                    -0.033051657
              0.39199999                    -0.031587591
                   0.396                    -0.029982528
              0.40000001                    -0.028253524
              0.40400001                    -0.026421985
              0.40799999                    -0.024506421
                   0.412                     -0.02252845
              0.41600001                    -0.020512076
              0.41999999                     -0.01847857
              0.42399999                    -0.016451285
                   0.428                    -0.014452445
              0.43200001                    -0.012506922
              0.43599999                     -0.01063489
                    0.44                   -0.0088606685
              0.44400001                   -0.0072029671
              0.44800001                   -0.0056820057
