        Frequency / GHz                S1,1 (l2=35)/abs,dB
----------------------------------------------------------------------
                       0                  -0.00058400708
            0.0040000002                  -0.00069458215
            0.0080000004                    -0.001025395
                   0.012                   -0.0015721521
             0.016000001                   -0.0023276865
                    0.02                   -0.0032814234
                   0.024                   -0.0044193582
             0.028000001                   -0.0057276537
             0.032000002                   -0.0071869118
             0.035999998                   -0.0087804274
             0.039999999                    -0.010481713
                   0.044                    -0.012271565
                   0.048                    -0.014126099
             0.052000001                    -0.016016194
             0.056000002                    -0.017918346
             0.059999999                    -0.019806851
             0.064000003                    -0.021654816
             0.068000004                    -0.023435678
             0.071999997                    -0.025127345
             0.075999998                    -0.026704383
             0.079999998                    -0.028146316
             0.083999999                    -0.029432933
                   0.088                    -0.030544293
                   0.092                    -0.031467475
             0.096000001                    -0.032187755
                     0.1                    -0.032694828
                   0.104                    -0.032982337
                   0.108                    -0.033045777
                   0.112                    -0.032882515
                   0.116                    -0.032496517
                    0.12                     -0.03189105
                   0.124                    -0.031076011
              0.12800001                    -0.030060667
                   0.132                    -0.028859917
              0.13600001                    -0.027489639
                    0.14                    -0.025968799
              0.14399999                    -0.024317437
                   0.148                    -0.022559203
                   0.152                    -0.020716848
                   0.156                    -0.018816805
                    0.16                    -0.016886158
                   0.164                    -0.014948579
                   0.168                    -0.013034124
              0.17200001                    -0.011166867
                   0.176                   -0.0093732537
              0.18000001                   -0.0076783962
                   0.184                   -0.0061057389
              0.18799999                   -0.0046784969
                   0.192                   -0.0034140486
              0.19599999                   -0.0023321749
                     0.2                   -0.0014484471
                   0.204                  -0.00077511995
                   0.208                  -0.00032324677
                   0.212                  -9.8082578e-05
              0.21600001                  -0.00010515813
                    0.22                  -0.00034458938
              0.22400001                  -0.00081519857
                   0.228                   -0.0015092883
              0.23199999                    -0.002421914
                   0.236                   -0.0035398313
              0.23999999                   -0.0048489048
                   0.244                   -0.0063328217
                   0.248                   -0.0079714979
                   0.252                   -0.0097447328
              0.25600001                    -0.011629412
              0.25999999                     -0.01359955
                   0.264                    -0.015627706
              0.26800001                    -0.017689636
              0.27200001                    -0.019756515
              0.27599999                    -0.021798366
                    0.28                    -0.023790384
              0.28400001                    -0.025702581
              0.28799999                    -0.027510953
                   0.292                    -0.029190002
                   0.296                    -0.030714115
              0.30000001                    -0.032065303
              0.30399999                    -0.033221488
                   0.308                    -0.034168321
              0.31200001                    -0.034891529
              0.31600001                    -0.035379488
              0.31999999                    -0.035625906
                   0.324                    -0.035626311
              0.32800001                    -0.035380052
              0.33199999                    -0.034890024
                   0.336                    -0.034161017
                    0.34                    -0.033205035
              0.34400001                    -0.032033178
              0.34799999                    -0.030660233
                   0.352                    -0.029106809
              0.35600001                    -0.027392849
              0.36000001                    -0.025542197
              0.36399999                    -0.023581152
                   0.368                    -0.021536399
              0.37200001                    -0.019435724
              0.37599999                    -0.017310107
                    0.38                    -0.015187956
                   0.384                    -0.013100899
              0.38800001                    -0.011077189
              0.39199999                   -0.0091483368
                   0.396                   -0.0073415179
              0.40000001                   -0.0056808848
              0.40400001                   -0.0041950314
              0.40799999                   -0.0029046512
                   0.412                   -0.0018293403
              0.41600001                  -0.00098963236
              0.41999999                  -0.00039741687
              0.42399999                  -6.5479155e-05
                   0.428                  -7.7155717e-08
              0.43200001                  -0.00020781954
              0.43599999                  -0.00068907143
                    0.44                   -0.0014411846
              0.44400001                   -0.0024582682
              0.44800001                   -0.0037299612
              0.45199999                   -0.0052435773
                   0.456                   -0.0069824137
              0.46000001                   -0.0089285866
              0.46399999                    -0.011057994
              0.46799999                    -0.013346273
                   0.472                    -0.015766535
              0.47600001                    -0.018290002
              0.47999999                    -0.020885664
                   0.484                    -0.023520174
              0.48800001                     -0.02616213
              0.49200001                    -0.028780017
              0.49599999                    -0.031338798
                     0.5                    -0.033807218
              0.50400001                    -0.036153887
              0.50800002                     -0.03834854
              0.51200002                    -0.040364192
              0.51599997                    -0.042175524
              0.51999998                    -0.043758524
              0.52399999                    -0.045093536
                   0.528                    -0.046165108
              0.53200001                    -0.046959639
              0.53600001                    -0.047468641
              0.54000002                    -0.047686279
              0.54400003                    -0.047611901
              0.54799998                    -0.047248733
              0.55199999                    -0.046604407
              0.55599999                    -0.045690474
                    0.56                    -0.044522152
              0.56400001                    -0.043119476
              0.56800002                    -0.041503693
              0.57200003                    -0.039703435
              0.57599998                    -0.037745049
              0.57999998                    -0.035662735
              0.58399999                     -0.03348848
                   0.588                    -0.031259165
              0.59200001                    -0.029010663
              0.59600002                    -0.026782739
              0.60000002                    -0.024612021
              0.60399997                    -0.022535966
              0.60799998                    -0.020593901
              0.61199999                    -0.018820154
                   0.616                    -0.017249388
                    0.62                    -0.015914439
              0.62400001                    -0.014846081
              0.62800002                    -0.014069774
              0.63200003                    -0.013609494
              0.63599998                    -0.013486087
              0.63999999                    -0.013715707
              0.64399999                    -0.014309756
                   0.648                    -0.015277467
              0.65200001                    -0.016620956
              0.65600002                    -0.018339831
              0.66000003                    -0.020428508
              0.66399997                    -0.022876546
              0.66799998                    -0.025670278
              0.67199999                    -0.028788584
                   0.676                    -0.032211067
              0.68000001                    -0.035910045
              0.68400002                    -0.039853291
              0.68800002                    -0.044010578
              0.69199997                    -0.048343604
              0.69599998                    -0.052814683
              0.69999999                    -0.057383312
                   0.704                    -0.062006201
                   0.708                     -0.06664263
              0.71200001                    -0.071248603
              0.71600002                    -0.075782564
              0.72000003                    -0.080203977
              0.72399998                    -0.084470817
              0.72799999                    -0.088547329
              0.73199999                    -0.092398506
                   0.736                     -0.09599227
              0.74000001                    -0.099300571
              0.74400002                     -0.10230261
              0.74800003                     -0.10497831
